,"Gross national income per capita 2015, Atlas method and PPP",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Purchasing,,,,,,,,,,,
,,,,Atlas,,,,,,power parity,,,,,,,,,,,
,,,,methodology,,,,,,(international,,,,,,,,,,,
,Ranking,,Economy,(US dollars),,,Ranking,,Economy,dollars),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MCO,1,,Monaco,..,a,,1,,Qatar,"138,480",,,QAT,,,,,,,,
LIE,2,,Liechtenstein,..,a,,3,,"Macao SAR, China","102,480",,,MAC,,,,,,,,
BMU,3,,Bermuda,"106,140",a,,4,,Kuwait,"84,360",,,KWT,,,,,,,,
NOR,4,,Norway,"93,530",,,6,,Brunei Darussalam,"82,140",,,BRN,,,,,,,,
CHI,5,,Channel Islands,..,a,,7,,Singapore,"81,360",,,SGP,,,,,,,,
CHE,6,,Switzerland,"84,550",,,9,,Luxembourg,"72,080",,,LUX,,,,,,,,
QAT,7,,Qatar,"83,990",,,10,,United Arab Emirates,"70,020",,,ARE,,,,,,,,
IMN,8,,Isle of Man,"85,290",a,,12,,Bermuda,"66,670",a,,BMU,,,,,,,,
LUX,10,,Luxembourg,"77,480",,,13,,Norway,"65,210",,,NOR,,,,,,,,
MAC,11,,"Macao SAR, China","67,180",,,15,,Switzerland,"63,990",,,CHE,,,,,,,,
DNK,12,,Denmark,"60,270",,,16,,"Hong Kong SAR, China","57,860",,,HKG,,,,,,,,
AUS,13,,Australia,"60,050",,,17,,United States,"57,540",,,USA,,,,,,,,
SWE,14,,Sweden,"57,900",,,18,,Saudi Arabia,"54,840",,,SAU,,,,,,,,
USA,15,,United States,"55,980",,,19,,Ireland,"54,610",,,IRL,,,,,,,,
IRL,16,,Ireland,"52,550",,,21,,Denmark,"50,660",,,DNK,,,,,,,,
SGP,17,,Singapore,"52,090",,,22,,Netherlands,"49,410",,,NLD,,,,,,,,
CYM,18,,Cayman Islands,..,a,,23,,Austria,"49,160",,,AUT,,,,,,,,
ISL,19,,Iceland,"50,110",,,24,,Germany,"49,090",,,DEU,,,,,,,,
NLD,20,,Netherlands,"48,850",,,25,,Sweden,"48,700",,,SWE,,,,,,,,
AUT,23,,Austria,"47,260",,,27,,Iceland,"47,160",,,ISL,,,,,,,,
CAN,24,,Canada,"47,250",,,28,,Belgium,"45,770",,,BEL,,,,,,,,
FIN,25,,Finland,"46,560",,,29,,Australia,"45,320",,,AUS,,,,,,,,
DEU,26,,Germany,"45,790",,,32,,Canada,"43,580",,,CAN,,,,,,,,
BEL,27,,Belgium,"44,510",,,33,,Finland,"42,600",,,FIN,,,,,,,,
GBR,28,,United Kingdom,"43,700",,,34,,Japan,"42,310",,,JPN,,,,,,,,
ARE,29,,United Arab Emirates,"43,090",,,36,,France,"41,680",,,FRA,,,,,,,,
AND,30,,Andorra,"43,270",a,,38,,United Kingdom,"41,230",,,GBR,,,,,,,,
KWT,31,,Kuwait,"42,150",,,41,,Bahrain,"38,660",,,BHR,,,,,,,,
HKG,32,,"Hong Kong SAR, China","41,000",,,42,,Oman,"38,650",,,OMN,,,,,,,,
FRA,33,,France,"40,710",,,44,,Italy,"37,010",,,ITA,,,,,,,,
NZL,35,,New Zealand,"40,020",,,45,,New Zealand,"36,150",,,NZL,,,,,,,,
JPN,37,,Japan,"38,840",,,46,,Israel,"36,040",,,ISR,,,,,,,,
BRN,38,,Brunei Darussalam,"38,010",,,48,,"Korea, Rep.","34,810",,,KOR,,,,,,,,
ISR,40,,Israel,"35,770",,,49,,Spain,"34,700",,,ESP,,,,,,,,
ITA,43,,Italy,"32,830",,,51,,Malta,"33,170",,,MLT,,,,,,,,
ESP,44,,Spain,"28,380",,,52,,Trinidad and Tobago,"32,180",,,TTO,,,,,,,,
KOR,46,,"Korea, Rep.","27,450",,,53,,Czech Republic,"31,550",,,CZE,,,,,,,,
CYP,48,,Cyprus,"25,810",b,,54,,Cyprus,"31,430",b,,CYP,,,,,,,,
MLT,50,,Malta,"23,900",,,55,,Slovenia,"31,260",,,SVN,,,,,,,,
SAU,52,,Saudi Arabia,"23,550",,,56,,Slovak Republic,"29,440",,,SVK,,,,,,,,
SVN,53,,Slovenia,"22,250",,,57,,Portugal,"29,010",,,PRT,,,,,,,,
BHS,54,,"Bahamas, The","20,740",,,58,,Estonia,"28,390",,,EST,,,,,,,,
PRT,55,,Portugal,"20,470",,,59,,Lithuania,"27,770",,,LTU,,,,,,,,
GRC,56,,Greece,"20,270",,,60,,Equatorial Guinea,"27,200",,,GNQ,,,,,,,,
BHR,57,,Bahrain,"19,840",,,63,,Greece,"26,470",,,GRC,,,,,,,,
PRI,60,,Puerto Rico,"19,320",a,,64,,Malaysia,"26,190",,,MYS,,,,,,,,
EST,61,,Estonia,"18,320",,,65,,Poland,"25,870",,,POL,,,,,,,,
CZE,62,,Czech Republic,"18,150",,,66,,Seychelles,"25,670",,,SYC,,,,,,,,
TTO,63,,Trinidad and Tobago,"17,640",,,68,,Hungary,"25,220",,,HUN,,,,,,,,
SVK,64,,Slovak Republic,"17,570",,,69,,Latvia,"24,840",,,LVA,,,,,,,,
OMN,65,,Oman,"16,910",,,70,,Russian Federation,"24,510",,,RUS,,,,,,,,
URY,67,,Uruguay,"15,720",,,71,,St. Kitts and Nevis,"24,370",,,KNA,,,,,,,,
LTU,68,,Lithuania,"15,080",,,73,,Puerto Rico,"24,020","a, c",,PRI,,,,,,,,
KNA,69,,St. Kitts and Nevis,"15,060",,,74,,Kazakhstan,"23,480",,,KAZ,,,,,,,,
LVA,70,,Latvia,"14,990",,,76,,Chile,"22,760",,,CHL,,,,,,,,
SYC,71,,Seychelles,"14,680",,,77,,Croatia,"22,380",,,HRV,,,,,,,,
BRB,72,,Barbados,"14,510",,,78,,Antigua and Barbuda,"22,280",,,ATG,,,,,,,,
CHL,73,,Chile,"14,100",,,79,,"Bahamas, The","21,970",,,BHS,,,,,,,,
POL,74,,Poland,"13,310",,,80,,Romania,"21,610",,,ROU,,,,,,,,
ATG,75,,Antigua and Barbuda,"13,270",,,81,,Panama,"20,460",,,PAN,,,,,,,,
HUN,76,,Hungary,"12,970",,,82,,Uruguay,"20,400",,,URY,,,,,,,,
GNQ,77,,Equatorial Guinea,"12,820",,,83,,Argentina,"19,980",c,,ARG,,,,,,,,
HRV,78,,Croatia,"12,760",,,84,,Cuba,"20,410",a,,CUB,,,,,,,,
ARG,79,,Argentina,"12,450",d,,85,,Mauritius,"19,940",,,MUS,,,,,,,,
PLW,80,,Palau,"12,180",,,86,,Turkey,"19,740",,,TUR,,,,,,,,
PAN,81,,Panama,"11,880",,,87,,Gabon,"18,880",,,GAB,,,,,,,,
NRU,82,,Nauru,"11,850",,,88,,Bulgaria,"17,880",,,BGR,,,,,,,,
RUS,83,,Russian Federation,"11,720",e,,89,,Azerbaijan,"17,170",,,AZE,,,,,,,,
KAZ,86,,Kazakhstan,"11,390",,,90,,"Iran, Islamic Rep.","17,430",a,,IRN,,,,,,,,
MYS,87,,Malaysia,"10,570",,,92,,Belarus,"16,920",,,BLR,,,,,,,,
CRI,88,,Costa Rica,"10,400",,,93,,Mexico,"16,860",,,MEX,,,,,,,,
BRA,89,,Brazil,"9,990",,,94,,Suriname,"16,610",,,SUR,,,,,,,,
TUR,90,,Turkey,"9,950",,,96,,Montenegro,"16,460",,,MNE,,,,,,,,
MUS,91,,Mauritius,"9,780",,,97,,Nauru,"16,190",,,NRU,,,,,,,,
MEX,92,,Mexico,"9,710",,,98,,Turkmenistan,"15,760",c,,TKM,,,,,,,,
ROU,93,,Romania,"9,510",,,99,,Barbados,"15,610",,,BRB,,,,,,,,
SUR,94,,Suriname,"9,360",,,100,,Thailand,"15,520",,,THA,,,,,,,,
GAB,95,,Gabon,"9,200",,,101,,Botswana,"15,510",,,BWA,,,,,,,,
GRD,96,,Grenada,"8,650",,,102,,Iraq,"15,340",,,IRQ,,,,,,,,
CHN,97,,China,"7,900",,,103,,Brazil,"15,140",,,BRA,,,,,,,,
LBN,98,,Lebanon,"7,710",,,105,,Costa Rica,"14,910",,,CRI,,,,,,,,
BGR,99,,Bulgaria,"7,480",,,106,,Palau,"14,730",c,,PLW,,,,,,,,
TKM,100,,Turkmenistan,"7,380",,,107,,China,"14,320",,,CHN,,,,,,,,
LCA,101,,St. Lucia,"7,350",,,108,,Algeria,"14,300",,,DZA,,,,,,,,
MNE,102,,Montenegro,"7,220",,,109,,Lebanon,"13,750",c,,LBN,,,,,,,,
COL,103,,Colombia,"7,140",,,110,,"Macedonia, FYR","13,730",,,MKD,,,,,,,,
MDV,104,,Maldives,"6,950",,,111,,Dominican Republic,"13,600",,,DOM,,,,,,,,
DMA,105,,Dominica,"6,800",,,112,,Colombia,"13,550",,,COL,,,,,,,,
VCT,106,,St. Vincent and the Grenadines,"6,630",,,113,,Serbia,"13,420",,,SRB,,,,,,,,
AZE,107,,Azerbaijan,"6,560",,,114,,Grenada,"13,090",,,GRD,,,,,,,,
BLR,108,,Belarus,"6,470",,,115,,South Africa,"12,870",,,ZAF,,,,,,,,
BWA,109,,Botswana,"6,460",,,116,,Peru,"12,060",,,PER,,,,,,,,
CUB,109,,Cuba,"6,600",a,,117,,Sri Lanka,"11,500",,,LKA,,,,,,,,
IRN,111,,"Iran, Islamic Rep.","6,550",a,,118,,Maldives,"11,480",,,MDV,,,,,,,,
DOM,112,,Dominican Republic,"6,240",,,119,,Albania,"11,310",,,ALB,,,,,,,,
TUV,113,,Tuvalu,"6,230",,,120,,Ecuador,"11,270",,,ECU,,,,,,,,
PER,114,,Peru,"6,130",,,121,,Mongolia,"11,220",,,MNG,,,,,,,,
ZAF,115,,South Africa,"6,080",,,122,,Tunisia,"11,100",,,TUN,,,,,,,,
ECU,116,,Ecuador,"6,030",,,123,,St. Vincent and the Grenadines,"11,090",,,VCT,,,,,,,,
IRQ,118,,Iraq,"5,820",,,124,,Bosnia and Herzegovina,"10,900",,,BIH,,,,,,,,
THA,119,,Thailand,"5,720",,,125,,St. Lucia,"10,780",,,LCA,,,,,,,,
SRB,120,,Serbia,"5,540",,,126,,Jordan,"10,760",,,JOR,,,,,,,,
NAM,121,,Namibia,"5,190",,,127,,"Egypt, Arab Rep.","10,710",,,EGY,,,,,,,,
MKD,122,,"Macedonia, FYR","5,140",,,128,,Indonesia,"10,690",,,IDN,,,,,,,,
JAM,123,,Jamaica,"4,930",,,129,,Dominica,"10,500",,,DMA,,,,,,,,
DZA,124,,Algeria,"4,850",,,130,,Namibia,"10,380",,,NAM,,,,,,,,
FJI,125,,Fiji,"4,830",,,131,,Kosovo,"9,870",c,,XKX,,,,,,,,
MHL,126,,Marshall Islands,"4,770",,,132,,Georgia,"9,340",f,,GEO,,,,,,,,
JOR,127,,Jordan,"4,680",,,133,,Philippines,"8,940",,,PHL,,,,,,,,
BIH,128,,Bosnia and Herzegovina,"4,670",,,134,,Fiji,"8,850",,,FJI,,,,,,,,
BLZ,129,,Belize,"4,490",,,135,,Armenia,"8,770",,,ARM,,,,,,,,
ALB,130,,Albania,"4,280",,,136,,Jamaica,"8,680",,,JAM,,,,,,,,
TON,130,,Tonga,"4,280",,,136,,Paraguay,"8,680",,,PRY,,,,,,,,
PRY,132,,Paraguay,"4,190",,,138,,Swaziland,"8,260",,,SWZ,,,,,,,,
AGO,133,,Angola,"4,180",,,139,,El Salvador,"8,240",,,SLV,,,,,,,,
GEO,134,,Georgia,"4,120",f,,140,,Belize,"8,020",,,BLZ,,,,,,,,
GUY,135,,Guyana,"4,090",,,141,,Ukraine,"7,840",,,UKR,,,,,,,,
XKX,136,,Kosovo,"3,960",,,142,,Morocco,"7,690",g,,MAR,,,,,,,,
SLV,137,,El Salvador,"3,940",,,143,,Bhutan,"7,630",,,BTN,,,,,,,,
WSM,138,,Samoa,"3,930",,,144,,Guyana,"7,540",c,,GUY,,,,,,,,
TUN,138,,Tunisia,"3,930",,,145,,Guatemala,"7,530",,,GTM,,,,,,,,
ARM,140,,Armenia,"3,880",,,146,,Bolivia,"6,710",,,BOL,,,,,,,,
MNG,141,,Mongolia,"3,870",,,147,,Tuvalu,"6,690",c,,TUV,,,,,,,,
LKA,142,,Sri Lanka,"3,800",,,148,,Angola,"6,470",,,AGO,,,,,,,,
GTM,143,,Guatemala,"3,590",,,149,,Cabo Verde,"6,320",,,CPV,,,,,,,,
FSM,144,,"Micronesia, Fed. Sts.","3,560",,,149,,"Congo, Rep.","6,320",,,COG,,,,,,,,
PHL,145,,Philippines,"3,550",,,151,,Uzbekistan,"6,200",c,,UZB,,,,,,,,
IDN,146,,Indonesia,"3,440",,,152,,India,"6,030",,,IND,,,,,,,,
KIR,147,,Kiribati,"3,390",,,153,,Nigeria,"5,810",,,NGA,,,,,,,,
EGY,148,,"Egypt, Arab Rep.","3,340",,,154,,Samoa,"5,740",c,,WSM,,,,,,,,
CPV,149,,Cabo Verde,"3,280",,,155,,Vietnam,"5,720",,,VNM,,,,,,,,
SWZ,149,,Swaziland,"3,280",,,156,,Tonga,"5,590",c,,TON,,,,,,,,
VUT,151,,Vanuatu,"3,170",a,,157,,Marshall Islands,"5,430",c,,MHL,,,,,,,,
MAR,152,,Morocco,"3,030",g,,158,,Lao PDR,"5,400",,,LAO,,,,,,,,
PSE,152,,West Bank and Gaza,"3,090",a,,158,,Moldova,"5,400",h,,MDA,,,,,,,,
BOL,154,,Bolivia,"3,000",,,160,,Pakistan,"5,320",,,PAK,,,,,,,,
NGA,155,,Nigeria,"2,790",,,161,,Nicaragua,"5,060",,,NIC,,,,,,,,
UKR,156,,Ukraine,"2,640",e,,162,,West Bank and Gaza,"5,080",a,,PSE,,,,,,,,
COG,157,,"Congo, Rep.","2,540",,,163,,Myanmar,"4,930",,,MMR,,,,,,,,
BTN,158,,Bhutan,"2,380",,,164,,Honduras,"4,750",,,HND,,,,,,,,
TLS,159,,Timor-Leste,"2,290",,,165,,Timor-Leste,"4,550",c,,TLS,,,,,,,,
HND,160,,Honduras,"2,280",,,166,,Kiribati,"4,230",c,,KIR,,,,,,,,
MDA,161,,Moldova,"2,240",h,,167,,"Micronesia, Fed. Sts.","4,120",c,,FSM,,,,,,,,
PNG,162,,Papua New Guinea,"2,240",a,,168,,Ghana,"4,080",,,GHA,,,,,,,,
UZB,163,,Uzbekistan,"2,160",,,169,,Sudan,"3,990",,,SDN,,,,,,,,
VNM,164,,Vietnam,"1,990",,,171,,Zambia,"3,640",,,ZMB,,,,,,,,
NIC,165,,Nicaragua,"1,940",,,172,,Mauritania,"3,710",a,,MRT,,,,,,,,
SLB,166,,Solomon Islands,"1,920",,,173,,Bangladesh,"3,560",,,BGD,,,,,,,,
SDN,166,,Sudan,"1,920",,,174,,Tajikistan,"3,460",,,TJK,,,,,,,,
STP,168,,São Tomé and Principe,"1,760",,,175,,Kyrgyz Republic,"3,310",,,KGZ,,,,,,,,
LAO,169,,Lao PDR,"1,740",,,176,,Cambodia,"3,300",,,KHM,,,,,,,,
IND,170,,India,"1,590",,,177,,Lesotho,"3,290",,,LSO,,,,,,,,
ZMB,171,,Zambia,"1,490",,,178,,Côte d'Ivoire,"3,260",,,CIV,,,,,,,,
GHA,173,,Ghana,"1,480",,,179,,São Tomé and Principe,"3,250",,,STP,,,,,,,,
PAK,174,,Pakistan,"1,440",,,181,,Cameroon,"3,070",,,CMR,,,,,,,,
CIV,175,,Côte d'Ivoire,"1,420",,,181,,Kenya,"3,070",,,KEN,,,,,,,,
KEN,176,,Kenya,"1,340",,,183,,Vanuatu,"3,050","a, c",,VUT,,,,,,,,
MRT,176,,Mauritania,"1,370",a,,184,,Papua New Guinea,"2,800","a, c",,PNG,,,,,,,,
CMR,178,,Cameroon,"1,320",,,185,,"Yemen, Rep.","2,720",,,YEM,,,,,,,,
LSO,179,,Lesotho,"1,280",,,186,,Tanzania,"2,630",i,,TZA,,,,,,,,
TJK,179,,Tajikistan,"1,280",,,187,,Nepal,"2,500",,,NPL,,,,,,,,
BGD,182,,Bangladesh,"1,190",,,188,,Senegal,"2,380",,,SEN,,,,,,,,
KGZ,183,,Kyrgyz Republic,"1,170",,,189,,Solomon Islands,"2,190",c,,SLB,,,,,,,,
MMR,184,,Myanmar,"1,160",,,190,,Chad,"2,110",,,TCD,,,,,,,,
YEM,185,,"Yemen, Rep.","1,140",,,191,,Benin,"2,050",,,BEN,,,,,,,,
KHM,186,,Cambodia,"1,070",,,192,,Mali,"1,970",,,MLI,,,,,,,,
SEN,187,,Senegal,980,,,193,,Afghanistan,"1,940",c,,AFG,,,,,,,,
TZA,188,,Tanzania,920,i,,194,,Uganda,"1,820",,,UGA,,,,,,,,
TCD,189,,Chad,880,,,195,,Haiti,"1,760",,,HTI,,,,,,,,
ZWE,190,,Zimbabwe,860,,,196,,Rwanda,"1,720",,,RWA,,,,,,,,
BEN,191,,Benin,840,,,198,,Zimbabwe,"1,710",,,ZWE,,,,,,,,
HTI,192,,Haiti,810,,,199,,Burkina Faso,"1,660",,,BFA,,,,,,,,
SSD,193,,South Sudan,790,,,200,,South Sudan,"1,630",,,SSD,,,,,,,,
COM,194,,Comoros,780,,,201,,Ethiopia,"1,620",,,ETH,,,,,,,,
MLI,195,,Mali,760,,,202,,Sierra Leone,"1,560",,,SLE,,,,,,,,
NPL,196,,Nepal,730,,,203,,"Gambia, The","1,580",a,,GMB,,,,,,,,
RWA,198,,Rwanda,700,,,204,,Comoros,"1,490",,,COM,,,,,,,,
UGA,198,,Uganda,700,,,206,,Guinea-Bissau,"1,450",,,GNB,,,,,,,,
BFA,201,,Burkina Faso,640,,,207,,Madagascar,"1,410",,,MDG,,,,,,,,
SLE,202,,Sierra Leone,620,,,208,,Togo,"1,330",,,TGO,,,,,,,,
AFG,203,,Afghanistan,610,,,209,,Mozambique,"1,170",,,MOZ,,,,,,,,
ETH,204,,Ethiopia,590,,,210,,Malawi,"1,140",,,MWI,,,,,,,,
GNB,204,,Guinea-Bissau,590,,,211,,Guinea,"1,120",,,GIN,,,,,,,,
MOZ,204,,Mozambique,590,,,212,,Niger,950,,,NER,,,,,,,,
TGO,207,,Togo,540,,,213,,Burundi,730,,,BDI,,,,,,,,
GIN,209,,Guinea,470,,,214,,"Congo, Dem. Rep.",720,,,COD,,,,,,,,
GMB,210,,"Gambia, The",460,a,,214,,Liberia,720,,,LBR,,,,,,,,
MDG,211,,Madagascar,420,,,216,,Central African Republic,620,,,CAF,,,,,,,,
COD,212,,"Congo, Dem. Rep.",410,,,,,,,,,,,,,,,,,
NER,213,,Niger,390,,,,,American Samoa,..,,,ASM,,,,,,,,
LBR,214,,Liberia,380,,,,,Andorra,..,,,AND,,,,,,,,
MWI,215,,Malawi,340,,,,,Aruba,..,,,ABW,,,,,,,,
CAF,216,,Central African Republic,330,,,,,British Virgin Islands,..,,,VGB,,,,,,,,
BDI,217,,Burundi,260,,,,,Cayman Islands,..,,,CYM,,,,,,,,
,,,,,,,,,Channel Islands,..,,,CHI,,,,,,,,
ASM,,,American Samoa,j,,,,,Curaçao,..,,,CUW,,,,,,,,
ABW,,,Aruba,k,,,,,Djibouti,..,,,DJI,,,,,,,,
VGB,,,British Virgin Islands,k,,,,,Eritrea,..,,,ERI,,,,,,,,
CUW,,,Curaçao,k,,,,,Faroe Islands,..,,,FRO,,,,,,,,
DJI,,,Djibouti,l,,,,,French Polynesia,..,,,PYF,,,,,,,,
ERI,,,Eritrea,l,,,,,Gibraltar,..,,,GIB,,,,,,,,
FRO,,,Faroe Islands,k,,,,,Isle of Man,..,,,IMN,,,,,,,,
PYF,,,French Polynesia,k,,,,,Greenland,..,,,GRL,,,,,,,,
GIB,,,Gibraltar,k,,,,,Guam,..,,,GUM,,,,,,,,
GRL,,,Greenland,k,,,,,"Korea, Dem. People's Rep.",..,,,PRK,,,,,,,,
GUM,,,Guam,k,,,,,Libya,..,,,LBY,,,,,,,,
PRK,,,"Korea, Dem. People's Rep.",l,,,,,Liechtenstein,..,,,LIE,,,,,,,,
LBY,,,Libya,j,,,,,Monaco,..,,,MCO,,,,,,,,
NCL,,,New Caledonia,k,,,,,New Caledonia,..,,,NCL,,,,,,,,
MNP,,,Northern Mariana Islands,k,,,,,Northern Mariana Islands,..,,,MNP,,,,,,,,
SMR,,,San Marino,k,,,,,San Marino,..,,,SMR,,,,,,,,
SXM,,,Sint Maarten (Dutch part),k,,,,,Sint Maarten (Dutch part),..,,,SXM,,,,,,,,
SOM,,,Somalia,l,,,,,Somalia,..,,,SOM,,,,,,,,
MAF,,,St. Martin (French part),k,,,,,St. Martin (French part),..,,,MAF,,,,,,,,
SYR,,,Syrian Arab Republic,m,,,,,Syrian Arab Republic,..,,,SYR,,,,,,,,
TCA,,,Turks and Caicos Islands,k,,,,,Turks and Caicos Islands,..,,,TCA,,,,,,,,
VEN,,,"Venezuela, RB",j,,,,,"Venezuela, RB",..,,,VEN,,,,,,,,
VIR,,,Virgin Islands (U.S.),k,,,,,Virgin Islands (U.S.),..,,,VIR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WLD,,,World,"10,552",,,,,World,"15,644",,,WLD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
EAS,,,East Asia & Pacific,"9,787",,,,,East Asia & Pacific,"16,082",,,EAS,,,,,,,,
ECS,,,Europe & Central Asia,"24,231",,,,,Europe & Central Asia,"30,057",,,ECS,,,,,,,,
LCN,,,Latin America & Caribbean,"8,960",,,,,Latin America & Caribbean,"15,071",,,LCN,,,,,,,,
MEA,,,Middle East & North Africa,"8,231",,,,,Middle East & North Africa,"18,846",,,MEA,,,,,,,,
NAC,,,North America,"55,117",,,,,North America,"56,147",,,NAC,,,,,,,,
SAS,,,South Asia,"1,537",,,,,South Asia,"5,661",,,SAS,,,,,,,,
SSF,,,Sub-Saharan Africa,"1,637",,,,,Sub-Saharan Africa,"3,569",,,SSF,,,,,,,,
LIC,,,Low income,619,,,,,Low income,"1,602",,,LIC,,,,,,,,
LMC,,,Lower middle income,"2,032",,,,,Lower middle income,"6,409",,,LMC,,,,,,,,
UMC,,,Upper middle income,"8,260",,,,,Upper middle income,"15,627",,,UMC,,,,,,,,
HIC,,,High income,"41,932",,,,,High income,"46,135",,,HIC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,.. Not available. PPP is purchasing power parity; an international dollar has the same purchasing power over GNI as a U.S. dollar has in the United States. ,,,,,,,,,,,,,,,,,,,,
,"Note: Rankings include all 217 World Bank Atlas economies, but only those with confirmed GNI per capita estimates or those that rank among the top twenty for the Atlas ",,,,,,,,,,,,,,,,,,,,
,method are shown in rank order. Figures in italics are for 2014 or 2013.,,,,,,,,,,,,,,,,,,,,
,"a. 2015 data not available; ranking is approximate.  b. Data are for the area controlled by the government of Cyprus.  c. Based on regression; other PPP figures are extrapolated from the 2011 International Comparison Program benchmark estimates.  d.  Based on data officially reported by the National Statistics and  Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. For Argentina, an alternative conversion factor has been calculated using a weighted average method for the period from 2012 to 2015.  e. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  f. Excludes Abkhazia and South Ossetia.  g. Includes Former Spanish Sahara.  h. Excludes Transnistria.  i. Covers mainland Tanzania only.  j. Estimated to be upper middle income ($4,036 to $12,475).  k. Estimated to be high income ($12,476 or more).  l. Estimated to be low income ($1,025 or less).  m. Estimated to be lower middle income ($1,026 to $4,035).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,,,,,,,,,,,,,,,,,
